review_id,parking_space_id,comment,rating,driver_id,review_date
300076,800075,This app has a lot of technical issues that need to be addressed.,1,50414,2021-07-21
300077,800076,The parking spot I rented using this app was very difficult to access and maneuver in my car.,1,50538,2022-10-15
300078,800077,The parking spot I rented using this app was in a very sketchy area.,1,50259,2023-01-12
300079,800078,The parking spots I've rented using this app have often been in inconvenient locations.,2,50020,2022-10-28
300080,800079,The process of booking a parking spot on this app was much more time-consuming than I expected.,2,50135,2022-07-22
300081,800080,The customer service team was unhelpful when I tried to resolve an issue with my booking.,2,50589,2022-04-25
300082,800081,The prices for parking on this app are often higher than what I would pay at a traditional parking garage.,1,50496,2023-01-14
300083,800082,I've had issues with my payment information being processed correctly on this app.,2,50246,2022-11-15
300084,800083,"The parking spot I rented using this app was much smaller than I anticipated, making it difficult to park my car.",2,50448,2021-07-28
300085,800084,The prices for parking on this app are often higher than what I would pay at a traditional parking garage.,1,50181,2022-03-16
300086,800085,The customer service team is not helpful or knowledgeable when it comes to resolving issues.,2,50229,2021-10-16
300087,800086,This app has a very limited selection of parking spots in my area.,1,50202,2021-04-08
300088,800087,"The parking spot I rented using this app was much smaller than I anticipated, making it difficult to park my car.",2,50232,2022-06-13
300089,800088,The prices for parking on this app are often inconsistent and unpredictable.,2,50303,2022-07-05
300090,800089,This app has a lot of technical issues that need to be addressed.,1,50152,2022-08-05
300091,800090,The parking spot I rented using this app was in a very sketchy area.,2,50543,2021-06-10
300092,800091,This app has caused me more frustration and stress than it's worth.,1,50325,2021-08-19
300093,800092,The customer service team is rude and unprofessional when dealing with issues.,2,50502,2022-05-16
300094,800093,This app has a very limited selection of parking spots in my area.,2,50086,2021-07-02
300095,800094,The process of renting a parking spot on this app is very convoluted and confusing.,1,50027,2022-03-13
300096,800095,The process of renting a parking spot on this app is unnecessarily complicated.,2,50575,2022-05-29
300097,800096,The reviews and ratings for parking spots on this app seem unreliable and inconsistent.,1,50122,2022-07-20
300098,800097,This app is not worth the investment for the low-quality parking spots available.,1,50325,2022-08-15
300099,800098,The prices for parking on this app are often much higher than what is advertised.,2,50108,2022-11-01
300100,800099,The prices for parking on this app are often much higher than what is advertised.,2,50257,2022-04-10
